"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"6059","Mali",2020-04-29,99,482,58,25,1,129,7,328,2.4,0.3,1.6,18,17
"6115","Malta",2020-04-29,99,463,5,4,0,339,36,120,104.8,1.1,27.1,38,0
"6137","Mauritania",2020-04-29,99,8,1,1,0,6,0,1,0.2,0,0,0,0
"6209","Mauritius",2020-04-29,99,332,0,10,0,306,3,16,26.1,0,1.3,33,3
"6229","Mexico",2020-04-29,99,17799,1047,1732,163,11423,0,4644,13.8,0.8,3.6,43,34
"6305","Moldova, Republic of",2020-04-29,99,3771,133,111,8,1114,139,2546,93.5,3.3,63.1,38,26
"6355","Monaco",2020-04-29,99,95,0,4,0,58,8,33,243.6,0,84.6,0,0
"6440","Mongolia",2020-04-29,99,38,0,0,0,10,0,28,1.2,0,0.9,0,0
"6459","Montenegro",2020-04-29,99,322,1,7,0,203,4,112,51.3,0.2,17.8,30,0
"6515","Morocco",2020-04-29,99,4321,69,168,3,928,150,3225,11.7,0.2,8.7,39,35
"6565","Mozambique",2020-04-29,99,76,0,0,0,12,0,64,0.2,0,0.2,0,0
"6616","MS Zaandam Cruise Ship",2020-04-29,99,9,0,2,0,0,0,7,NA,NA,NA,0,0
"6640","Namibia",2020-04-29,99,16,0,0,0,8,0,8,0.6,0,0.3,0,0
"6690","Nepal",2020-04-29,99,57,3,0,0,16,0,41,0.2,0,0.1,0,0
"6814","Netherlands",2020-04-29,99,38998,386,4727,145,119,2,34152,227.6,2.3,199.3,55,48
"6878","New Zealand",2020-04-29,99,1476,2,19,0,1241,12,216,30.6,0,4.5,39,13
"6909","Nicaragua",2020-04-29,99,13,0,3,0,7,0,3,0.2,0,0,0,0
"6965","Niger",2020-04-29,99,713,4,32,1,435,32,246,2.9,0,1,27,25
"7002","Nigeria",2020-04-29,99,1728,196,51,7,307,52,1370,0.8,0.1,0.7,32,19
"7089","North Macedonia",2020-04-29,99,1442,21,73,2,627,38,742,69.2,1,35.6,39,29
"7131","Norway",2020-04-29,99,7710,50,207,1,32,0,7471,142.2,0.9,137.8,55,38
"7211","Oman",2020-04-29,99,2274,143,10,0,364,0,1900,44.5,2.8,37.2,35,6
"7279","Pakistan",2020-04-29,99,15525,913,343,31,3425,192,11757,7,0.4,5.3,45,34
"7340","Panama",2020-04-29,99,6378,357,178,11,527,72,5673,147.8,8.3,131.5,42,33
"7351","Papua New Guinea",2020-04-29,99,8,0,0,0,0,0,8,0.1,0,0.1,0,0
"7426","Paraguay",2020-04-29,99,239,0,9,0,102,0,128,3.4,0,1.8,25,0
"7469","Peru",2020-04-29,99,33931,2741,943,89,10037,858,22951,102.9,8.3,69.6,44,34
"7576","Philippines",2020-04-29,99,8212,254,558,28,1023,48,6631,7.5,0.2,6.1,47,46
"7642","Poland",2020-04-29,99,12640,422,624,28,3025,370,8991,33.4,1.1,23.8,47,37
"7670","Portugal",2020-04-29,99,24505,183,973,25,1470,81,22062,240.3,1.8,216.4,48,40
"7756","Qatar",2020-04-29,99,12564,643,10,0,1243,109,11311,436.1,22.3,392.6,50,8
"7806","Republic of Korea",2020-04-29,99,10765,4,247,1,9059,137,1459,21,0,2.8,70,65
"7904","Republic of the Congo",2020-04-29,99,207,0,8,0,19,0,180,3.8,0,3.3,15,0
"7942","Romania",2020-04-29,99,11978,362,693,30,3569,165,7716,62.3,1.9,40.1,47,37
"8009","Russia",2020-04-29,99,99399,5841,972,105,10286,1830,88141,68.1,4,60.4,44,30
"8095","Rwanda",2020-04-29,99,225,13,0,0,98,3,127,1.7,0.1,1,26,0
"8141","Saint Kitts and Nevis",2020-04-29,99,15,0,0,0,4,0,11,28.3,0,20.8,0,0
"8172","Saint Lucia",2020-04-29,99,17,2,0,0,15,0,2,9.2,1.1,1.1,0,0
"8194","Saint Vincent and the Grenadines",2020-04-29,99,16,1,0,0,8,0,8,14.4,0.9,7.2,0,0
"8302","San Marino",2020-04-29,99,563,10,41,0,69,5,453,1655.9,29.4,1332.4,46,43
"8326","Sao Tome and Principe",2020-04-29,99,8,0,0,0,4,0,4,3.7,0,1.8,0,0
"8335","Saudi Arabia",2020-04-29,99,21402,1325,157,5,2953,169,18292,61.5,3.8,52.5,47,30
"8417","Senegal",2020-04-29,99,882,59,9,0,315,19,558,5.3,0.4,3.3,35,0
"8454","Serbia",2020-04-29,99,6630,0,125,0,870,0,5635,75.9,0,64.5,42,33
"8519","Seychelles",2020-04-29,99,11,0,0,0,6,0,5,11.2,0,5.1,0,0
"8576","Sierra Leone",2020-04-29,99,104,0,4,0,12,0,88,1.3,0,1.1,2,0
"8611","Singapore",2020-04-29,99,15641,690,14,0,1188,60,14439,267.4,11.8,246.8,61,16
"8686","Slovakia",2020-04-29,99,1391,7,22,2,484,61,885,25.5,0.1,16.2,43,12
"8741","Slovenia",2020-04-29,99,1418,10,89,3,230,7,1099,68.2,0.5,52.9,48,32
"8793","Somalia",2020-04-29,99,582,54,28,0,20,1,534,3.7,0.3,3.4,13,7
"8877","South Africa",2020-04-29,99,5350,354,103,10,2073,0,3174,9,0.6,5.4,43,25
"8905","Spain",2020-04-29,99,212917,2144,24275,453,108947,6399,79695,455.4,4.6,170.5,59,54
"9016","Sri Lanka",2020-04-29,99,649,30,7,0,136,2,506,3,0.1,2.4,37,0
"9107","Sudan",2020-04-29,99,375,57,28,3,32,1,315,0.9,0.1,0.7,10,12
"9142","Suriname",2020-04-29,99,10,0,1,0,8,1,1,1.7,0,0.2,0,0
"9219","Sweden",2020-04-29,99,20302,681,2462,107,1005,0,16835,201,6.7,166.7,55,43
"9313","Switzerland",2020-04-29,99,29407,143,1716,17,22600,0,5091,339.8,1.7,58.8,56,48
"9328","Syria",2020-04-29,99,43,0,3,0,21,0,19,0.2,0,0.1,0,0
"9381","Taiwan",2020-04-29,99,429,0,6,0,311,4,112,1.8,0,0.5,43,0
"9492","Tanzania, United Republic of",2020-04-29,99,480,181,16,6,167,119,297,0.8,0.3,0.5,13,10
"9565","Thailand",2020-04-29,99,2947,9,54,0,2665,13,228,4.2,0,0.3,46,30
"9610","The Bahamas",2020-04-29,99,80,0,11,0,23,0,46,20.4,0,11.7,0,7
"9671","The Gambia",2020-04-29,99,10,0,1,0,8,0,1,0.4,0,0,0,0
"9718","Timor-Leste",2020-04-29,99,24,0,0,0,6,0,18,1.8,0,1.4,0,0
"9782","Togo",2020-04-29,99,109,10,7,1,64,1,38,1.3,0.1,0.5,1,0
"9808","Trinidad and Tobago",2020-04-29,99,116,0,8,0,71,12,37,8.3,0,2.6,26,0
"9860","Tunisia",2020-04-29,99,980,5,40,0,294,15,646,8.3,0,5.5,37,30
"9933","Turkey",2020-04-29,99,117589,2936,3081,89,44040,5231,70468,139.4,3.5,83.6,42,39
"9939","Uganda",2020-04-29,99,81,2,0,0,52,0,29,0.2,0,0.1,0,0
"9988","UK",2020-04-29,99,166441,4091,26166,797,857,44,139418,245.2,6,205.4,56,48
"10069","Ukraine",2020-04-29,99,9866,456,250,11,1103,111,8513,22.6,1,19.5,36,32
"10135","United Arab Emirates",2020-04-29,99,11929,549,98,9,2329,148,9502,120.6,5.6,96.1,43,26
"10237","Uruguay",2020-04-29,99,630,5,15,0,412,18,203,18.1,0.1,5.8,40,11
"10308","USA",2020-04-29,99,1039909,27327,60967,2612,120720,4784,858222,314.2,8.3,259.3,58,57
"10410","Uzbekistan",2020-04-29,99,2002,63,9,1,1096,104,897,6,0.2,2.7,33,0
"10446","Venezuela",2020-04-29,99,331,2,10,0,142,0,179,1.2,0,0.6,35,9
"10516","Vietnam",2020-04-29,99,270,0,0,0,222,0,48,0.3,0,0,39,0
"10572","West Bank and Gaza",2020-04-29,99,344,1,2,0,71,0,271,7.2,0,5.6,32,0
"10620","Western Sahara",2020-04-29,99,6,0,0,0,5,0,1,1,0,0.2,0,0
"10656","Yemen",2020-04-29,99,6,5,0,0,1,0,5,0,0,0,0,0
"10694","Zambia",2020-04-29,99,97,2,3,0,54,12,40,0.5,0,0.2,0,0
"10732","Zimbabwe",2020-04-29,99,32,0,4,0,5,0,23,0.2,0,0.2,0,0
