"","word","polaridade","tipo","sentimento"
"136","quebrar o encanto]",-1,"expressão","negativo"
"137","sem-noção]",-1,"expressão","negativo"
"138","sem graça]",-1,"expressão","negativo"
"139","sem sal]",-1,"expressão","negativo"
"140","ser um balde de água fria]",-1,"expressão","negativo"
"141","ser um saco] ",-1,"expressão","negativo"
"142","tempo perdido]",-1,"expressão","negativo"
"143","água-com-açúcar]",-1,"substantivo","negativo"
"144","água com açúcar]",-1,"substantivo","negativo"
"145","cabeça-dura]",-1,"substantivo","negativo"
"146","carregar nas tintas]",-1,"substantivo","negativo"
"147","dar náuseas]",-1,"substantivo","negativo"
"148","dar raiva]",-1,"substantivo","negativo"
"149","dar sono]",-1,"substantivo","negativo"
"150","deixar a desejar]",-1,"substantivo","negativo"
"151","embrulhar o estômago]",-1,"substantivo","negativo"
"152","esperar mais]",-1,"substantivo","negativo"
"153","forçar a barra]",-1,"substantivo","negativo"
"154","mala sem alça]",-1,"substantivo","negativo"
"155","melhor esquecer]",-1,"substantivo","negativo"
"156","não aturar]",-1,"substantivo","negativo"
"157","não engolir]",-1,"substantivo","negativo"
"158","não prestar]",-1,"substantivo","negativo"
"159","nao se enxergar]",-1,"substantivo","negativo"
"160","perda de tempo]",-1,"substantivo","negativo"
"161","perder o fôlego]",-1,"substantivo","negativo"
"162","perder tempo]",-1,"substantivo","negativo"
"163","picolé de chuchu]",-1,"substantivo","negativo"
"164","pra criancinha]",-1,"substantivo","negativo"
"165","quebrar o encanto]",-1,"substantivo","negativo"
"166","sem-noção]",-1,"substantivo","negativo"
"167","sem graça]",-1,"substantivo","negativo"
"168","sem sal]",-1,"substantivo","negativo"
"169","ser um balde de água fria]",-1,"substantivo","negativo"
"170","ser um saco] ",-1,"substantivo","negativo"
"171","tempo perdido]",-1,"substantivo","negativo"
"172","abandonar]",-1,"verbo","negativo"
"173","aborrecer]",-1,"verbo","negativo"
"174","arrepender]",-1,"verbo","negativo"
"175","assustar]",-1,"verbo","negativo"
"176","aterrorizar]",-1,"verbo","negativo"
"177","atormentar]",-1,"verbo","negativo"
"178","atrapalhar]",-1,"verbo","negativo"
"179","cansar]",-1,"verbo","negativo"
"180","chocar]",-1,"verbo","negativo"
"181","complicar]",-1,"verbo","negativo"
"182","decepcionar]",-1,"verbo","negativo"
"183","deprimir]",-1,"verbo","negativo"
"184","desanimar]",-1,"verbo","negativo"
"185","desgastar]",-1,"verbo","negativo"
"186","desistir]",-1,"verbo","negativo"
"187","desmerecer]",-1,"verbo","negativo"
"188","destorcer]",-1,"verbo","negativo"
"189","detestar]",-1,"verbo","negativo"
"190","dificultar]",-1,"verbo","negativo"
"191","distorcer]",-1,"verbo","negativo"
"192","empacar]",-1,"verbo","negativo"
"193","enfraquecer]",-1,"verbo","negativo"
"194","enganar]",-1,"verbo","negativo"
"195","engolir]",-1,"verbo","negativo"
"196","errar]",-1,"verbo","negativo"
"197","estragar]",-1,"verbo","negativo"
"198","estressar]",-1,"verbo","negativo"
"199","exagerar]",-1,"verbo","negativo"
"200","faltar]",-1,"verbo","negativo"
"201","frustrar]",-1,"verbo","negativo"
"202","incomodar]",-1,"verbo","negativo"
"203","irritar]",-1,"verbo","negativo"
"204","largar]",-1,"verbo","negativo"
"205","limitar]",-1,"verbo","negativo"
"206","odiar]",-1,"verbo","negativo"
"207","pecar]",-1,"verbo","negativo"
"208","perder]",-1,"verbo","negativo"
"209","prolongar]",-1,"verbo","negativo"
"210","revoltar]",-1,"verbo","negativo"
"211","",1,"adjetivo","positivo"
"212","",1,"adjetivo","positivo"
"213","",1,"adjetivo","positivo"
"214","admirável]",1,"adjetivo","positivo"
"215","adorável]",1,"adjetivo","positivo"
"216","agradável]",1,"adjetivo","positivo"
"217","alegre]",1,"adjetivo","positivo"
"218","alucinante]",1,"adjetivo","positivo"
"219","angustiante]",1,"adjetivo","positivo"
"220","apaixonante]",1,"adjetivo","positivo"
"221","apoteótico]",1,"adjetivo","positivo"
"222","ardente]",1,"adjetivo","positivo"
"223","arrasador]",1,"adjetivo","positivo"
"224","arrasador]",1,"adjetivo","positivo"
"225","arrebatador]",1,"adjetivo","positivo"
"226","assustador]",1,"adjetivo","positivo"
"227","astuto]",1,"adjetivo","positivo"
"228","atemporal]",1,"adjetivo","positivo"
"229","aterrador]",1,"adjetivo","positivo"
"230","aterrorizante]",1,"adjetivo","positivo"
"231","atraente]",1,"adjetivo","positivo"
"232","atual]",1,"adjetivo","positivo"
"233","atuar]",1,"adjetivo","positivo"
"234","autêntico]",1,"adjetivo","positivo"
"235","avassalador]",1,"adjetivo","positivo"
"236","bacana]",1,"adjetivo","positivo"
"237","bárbaro]",1,"adjetivo","positivo"
"238","batuta]",1,"adjetivo","positivo"
"239","belíssimo]",1,"adjetivo","positivo"
"240","belo]",1,"adjetivo","positivo"
"241","bem-humorado]",1,"adjetivo","positivo"
"242","bem]",1,"adjetivo","positivo"
"243","bom]",1,"adjetivo","positivo"
"244","bonito]",1,"adjetivo","positivo"
"245","brilhante]",1,"adjetivo","positivo"
"246","carinhoso]",1,"adjetivo","positivo"
"247","carismático]",1,"adjetivo","positivo"
"248","cativante]",1,"adjetivo","positivo"
"249","cativar]",1,"adjetivo","positivo"
"250","certo]",1,"adjetivo","positivo"
"251","claro]",1,"adjetivo","positivo"
"252","classe]",1,"adjetivo","positivo"
"253","clássico]",1,"adjetivo","positivo"
"254","coerente]",1,"adjetivo","positivo"
"255","comédia]",1,"adjetivo","positivo"
"256","cômico]",1,"adjetivo","positivo"
"257","comovente]",1,"adjetivo","positivo"
"258","compreensível]",1,"adjetivo","positivo"
"259","compulsivo]",1,"adjetivo","positivo"
"260","comum]",1,"adjetivo","positivo"
"261","consistente]",1,"adjetivo","positivo"
"262","contagiante]",1,"adjetivo","positivo"
"263","contemporâneo]",1,"adjetivo","positivo"
"264","contente]",1,"adjetivo","positivo"
"265","convincente]",1,"adjetivo","positivo"
"266","corajoso]",1,"adjetivo","positivo"
"267","criativo]",1,"adjetivo","positivo"
"268","crivar]",1,"adjetivo","positivo"
"269","curto]",1,"adjetivo","positivo"
"270","decente]",1,"adjetivo","positivo"
"271","delicado]",1,"adjetivo","positivo"
"272","delicioso]",1,"adjetivo","positivo"
"273","demais]",1,"adjetivo","positivo"
"274","denso]",1,"adjetivo","positivo"
"275","desafiador]",1,"adjetivo","positivo"
"276","despretensioso]",1,"adjetivo","positivo"
"277","devanear]",1,"adjetivo","positivo"
"278","digno]",1,"adjetivo","positivo"
"279","dinâmico]",1,"adjetivo","positivo"
"280","direto]",1,"adjetivo","positivo"
"281","distrativo]",1,"adjetivo","positivo"
"282","divertido]",1,"adjetivo","positivo"
"283","divino]",1,"adjetivo","positivo"
"284","doce]",1,"adjetivo","positivo"
"285","duro]",1,"adjetivo","positivo"
"286","elegante]",1,"adjetivo","positivo"
"287","eletrizante]",1,"adjetivo","positivo"
"288","emocionante]",1,"adjetivo","positivo"
"289","empolgante]",1,"adjetivo","positivo"
"290","encantador]",1,"adjetivo","positivo"
"291","encantável]",1,"adjetivo","positivo"
"292","engenhoso]",1,"adjetivo","positivo"
"293","engraçado]",1,"adjetivo","positivo"
"294","enigmático]",1,"adjetivo","positivo"
"295","enriquecedor]",1,"adjetivo","positivo"
"296","envolvente]",1,"adjetivo","positivo"
"297","especial]",1,"adjetivo","positivo"
"298","esperto]",1,"adjetivo","positivo"
"299","espetacular]",1,"adjetivo","positivo"
"300","espirituoso]",1,"adjetivo","positivo"
"301","esplêndido]",1,"adjetivo","positivo"
