"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"6243","Switzerland",2020-04-10,80,24551,500,1002,54,11100,500,12449,283.7,5.8,143.8,37,29
"6275","Syria",2020-04-10,80,19,0,2,0,4,0,13,0.1,0,0.1,0,0
"6294","Taiwan",2020-04-10,80,382,2,6,1,91,24,285,1.6,0,1.2,24,0
"6374","Tanzania, United Republic of",2020-04-10,80,32,7,3,2,5,0,24,0.1,0,0,0,0
"6438","Thailand",2020-04-10,80,2473,50,33,1,1013,73,1427,3.5,0.1,2,27,11
"6484","The Bahamas",2020-04-10,80,42,1,8,0,5,0,29,10.7,0.3,7.4,0,0
"6495","The Gambia",2020-04-10,80,4,0,1,0,2,0,1,0.2,0,0,0,0
"6518","Timor-Leste",2020-04-10,80,2,1,0,0,1,1,1,0.2,0.1,0.1,0,0
"6564","Togo",2020-04-10,80,76,3,3,0,25,1,48,0.9,0,0.6,0,0
"6592","Trinidad and Tobago",2020-04-10,80,109,0,8,0,1,0,100,7.8,0,7.1,7,0
"6614","Tunisia",2020-04-10,80,671,28,25,0,25,0,621,5.7,0.2,5.3,18,11
"6648","Turkey",2020-04-10,80,47029,4747,1006,98,2423,281,43600,55.8,5.6,51.7,23,20
"6680","Uganda",2020-04-10,80,53,0,0,0,0,0,53,0.1,0,0.1,0,0
"6694","UK",2020-04-10,80,74605,8733,8974,981,588,229,65043,109.9,12.9,95.8,37,28
"6773","Ukraine",2020-04-10,80,2203,311,69,12,61,16,2073,5,0.7,4.7,17,13
"6842","United Arab Emirates",2020-04-10,80,3360,370,16,2,418,150,2926,34,3.7,29.6,24,7
"6875","Uruguay",2020-04-10,80,473,17,7,0,206,14,260,13.6,0.5,7.5,21,0
"6939","USA",2020-04-10,80,496535,35098,18586,2108,28790,3380,449159,150,10.6,135.7,39,38
"7000","Uzbekistan",2020-04-10,80,624,42,3,0,42,4,579,1.9,0.1,1.7,14,0
"7013","Venezuela",2020-04-10,80,171,0,9,0,84,0,78,0.6,0,0.3,16,0
"7064","Vietnam",2020-04-10,80,257,2,0,0,144,16,113,0.3,0,0.1,20,0
"7124","West Bank and Gaza",2020-04-10,80,267,4,2,1,45,1,220,5.6,0.1,4.6,13,0
"7156","Western Sahara",2020-04-10,80,4,0,0,0,0,0,4,0.7,0,0.7,0,0
"7160","Yemen",2020-04-10,80,1,1,0,0,0,0,1,0,0,0,0,0
"7168","Zambia",2020-04-10,80,40,1,2,1,25,1,13,0.2,0,0.1,0,0
"7192","Zimbabwe",2020-04-10,80,13,2,3,0,0,0,10,0.1,0,0.1,0,0
